Date,CPI National Year on Year Inflation,Advances by banks,Auto Sales,Consumer Confidence Index,Call Money Rate (End of Period),IMF Commodity Prices,National Consumer Price Index,Credit to the Private Sector,Deposits of Banks,Deposit Rate,Pakistani Rupee to US Dollar Nominal Exchange Rate,Economic Policy Uncertainty,Fertilizers Sales,Karachi Stock Exchange 100 Index,KIBOR 1 Year Interest Rate,KIBOR 6 months Interest Rate,Karachi Stock Exchange All Shares Index,Lending Rate,International Oil Prices,SBP Policy Rate,Public Sector Borrowing,Real Output - Quantum Index of Large-Scale Manufacturing Industries,Real Effective Exchange Rate,Weighted Average Overnight Repo Rate 
2018-08-01,-0.31201929104739395,0.26194992022193536,0.23717706364209198,0.8712509144111192,-0.29210689869484147,-0.4673921553276441,0.10271656756441624,0.22065337164064383,0.08367465003980537,-0.49758713136729216,0.27205949341058944,-0.44663059208009803,0.12053518603475301,0.18883768760040198,-0.2720812182741107,-0.2833843017329244,0.41205288933243084,-0.6481069042316255,0.059648316285481784,-0.39428289797930016,0.08118028310950032,0.2286370448675242,0.32609270559922704,-0.32167887421064184
2018-09-01,-0.45020126771718794,0.2788339413571091,0.572703213610586,1.297488417459156,-0.2747047855811064,-0.4482893603695293,0.10061793167774283,0.24914374413964274,0.12367509109660688,-0.4589812332439699,0.27491060977969356,0.12519518957619097,0.13471602684429557,0.12867044264370184,-0.20710659898477074,-0.2466870540265023,0.3268127910616622,-0.6169265033407569,0.1509021951499827,-0.39428289797930016,0.10310036035864562,0.2574658445532981,0.2853464063522694,-0.2997892796079761
2018-10-01,-0.28642317179994875,0.28960460547943007,1.1890107120352866,1.055596196049744,-0.10316967060286136,-0.38315196116808886,0.13606155998600894,0.28466717996411073,0.08065205837533787,-0.3109919571045575,0.3892762971234614,-0.07774371441711621,0.1488958190232761,0.18132295121691763,0.044670050761422164,-0.002038735983688982,0.35993381323146556,-0.4699331848552336,0.18170325249971236,-0.19714144898965008,0.10764075252082869,0.2803281167147822,0.09973025328423198,-0.11284883637242579
2018-11-01,-0.4612837148360638,0.34492423890122753,0.1762822936357908,0.8137039746403312,-0.031075201988812928,-0.4601894621467159,0.12673428937857034,0.33200398412844623,0.12924581492227477,-0.24235924932975852,0.4415056948576653,0.46106891689726576,0.16307392596942374,0.0880093108943049,0.14619289340101607,0.08766564729867403,0.259186448295192,-0.4342984409799552,-0.14929318469141503,-0.19714144898965008,0.1397810205584722,0.2879712905140531,-0.007824638188995023,-0.0843087313983646
2018-12-01,-0.4903711946351062,0.38044569879972095,0.042596093257718966,0.9005120702267736,0.31696706028589194,-0.42198387223048595,0.14515564882826149,0.4002974142624189,0.16155904758194284,-0.11367292225201059,0.5271606577176665,0.06900453488283421,0.17725235214470025,-0.18945339759047808,0.28223350253807183,0.24872579001019487,0.09836870283907372,-0.19376391982182606,-0.3375474083438687,0.09857072449482504,0.17503871901797408,0.2929611361551013,-0.28766041004145404,0.3131494162282766
2019-01-01,-0.4329097547490059,0.3682995485924584,0.6532577189666037,0.987320165813216,0.20758234928526792,-0.36592812964847726,0.16450973533869628,0.4053778807247847,0.12670426920931013,0.08579088471849874,0.5279398124649143,0.792023490323501,0.19143173600735486,0.11256489328435192,0.3126903553299501,0.26911314984709594,0.29304047570838637,-0.05122494432071238,-0.27778416273991513,0.09857072449482504,0.19841571702756822,0.3046875369236435,-0.28959095026215065,0.23893212280596418
2019-02-01,-0.26770484464512956,0.3794312104617506,0.439521109010712,0.9795171909290417,0.2597886886264761,-0.32521725514757704,0.18782791185729247,0.4221067079626413,0.09701738278364179,0.10294906166219848,0.5256700253615736,0.25727008012936864,0.20561146322692128,-0.028613119315452993,0.330964467005077,0.2874617737003069,0.15403744695475402,0.04677060133630307,-0.17365820020687292,0.14785608674223757,0.21797322762741025,0.3137221916191662,-0.29622883513054293,0.3309337733847907
2019-03-01,0.06396361677622532,0.38068918626374065,0.9025834908632641,0.9717142160448672,0.3940335612181477,-0.3346120723400924,0.2423924449108076,0.4248577088417949,0.1735977811902506,0.08793565683646117,0.5373764349939392,-0.1502714115406232,0.2197915152435624,-0.0614027103375764,0.34314720812182836,0.2976554536187576,0.12672038433507718,0.055679287305122484,-0.11136650959659838,0.14785608674223757,0.19768135321738572,0.32109266022622845,-0.2384250229747507,0.33500896386932955
2019-04-01,0.033132330483644536,0.37324626967391217,0.5235034656584752,0.5844915874177031,0.3741454319453074,-0.2738589211618258,0.2566165325871513,0.4162884711111961,0.13744206167591294,0.19731903485254693,0.5718067453283252,0.1703826660701405,0.23397196072866186,-0.21228806651285986,0.37969543147208207,0.36901121304791146,-0.025302499848291794,0.15367483296213832,-0.0024135156878520624,0.24642681123706262,0.231691578765108,0.3280096913184492,-0.2556345989831605,0.4044036361203336
2019-05-01,0.0848860765935244,0.41481796970838913,0.1809199747952111,0.19726895879053832,0.5407085146053451,-0.3314804666092537,0.2901947067739297,0.4167400548977102,0.17401025751101357,0.2873994638069705,0.6541333812279236,0.5531705201227016,0.24815203130513588,-0.2777952404242325,0.5786802030456862,0.5565749235474018,-0.12848921010273465,0.19821826280623617,-0.052062981266521424,0.3627402661409561,0.2832544109670858,0.3203891724037573,-0.3413519070696121,0.5185991129009387
